Program Name,"Whatis",Program Type,Size in bytes
bond2team,,Bourne-Again shell script - ASCII text executable, 23289
bsh,,Bourne-Again shell script - ASCII text executable, 598
bsh-console,,Bourne-Again shell script - ASCII text executable, 554
build-classpath,,Bourne-Again shell script - ASCII text executable, 1478
build-classpath-directory,,Bourne-Again shell script - ASCII text executable, 313
build-jar-repository,,Bourne-Again shell script - ASCII text executable, 1507
catfish,,Bourne-Again shell script - ASCII text executable, 69
check-binary-files,,Bourne-Again shell script - ASCII text executable, 3264
clc-clbuild,,Bourne-Again shell script - ASCII text executable, 982
clc-lisp,,Bourne-Again shell script - ASCII text executable, 164
clc-slime,,Bourne-Again shell script - ASCII text executable, 165
clean-binary-files,,Bourne-Again shell script - ASCII text executable, 13156
create-jar-links,,Bourne-Again shell script - ASCII text executable, 4595
diff-jars,,Bourne-Again shell script - ASCII text executable, 1238
dracut,,Bourne-Again shell script - ASCII text executable, 78558
esmtp-wrapper,,Bourne-Again shell script - ASCII text executable, 3378
fcitx-diagnose,,Bourne-Again shell script - ASCII text executable, 51321
find-jar,,Bourne-Again shell script - ASCII text executable, 696
fips-finish-install,,Bourne-Again shell script - ASCII text executable, 981
fips-mode-setup,,Bourne-Again shell script - ASCII text executable, 3884
gcore,,Bourne-Again shell script - ASCII text executable, 3473
kdumpctl,,Bourne-Again shell script - ASCII text executable, 31065
kernel-install,,Bourne-Again shell script - ASCII text executable, 5310
ldd,,Bourne-Again shell script - ASCII text executable, 5447
lsinitrd,,Bourne-Again shell script - ASCII text executable, 10527
mkinitrd,,Bourne-Again shell script - ASCII text executable, 6613
pa-info,,Bourne-Again shell script - ASCII text executable, 2043
rebuild-jar-repository,,Bourne-Again shell script - ASCII text executable, 1752
renew-dummy-cert,,Bourne-Again shell script - ASCII text executable, 729
rsync-ssl,,Bourne-Again shell script - ASCII text executable, 4910
ruby,,Bourne-Again shell script - ASCII text executable, 2409
run-parts,,Bourne-Again shell script - ASCII text executable, 1987
shade-jar,,Bourne-Again shell script - ASCII text executable, 2463
sotruss,,Bourne-Again shell script - ASCII text executable, 4283
tzselect,,Bourne-Again shell script - ASCII text executable, 15352
xfce4-set-wallpaper,,Bourne-Again shell script - ASCII text executable, 613
gtstemplate,,C source - ASCII text, 6113
bshdoc,,Java source - ASCII text, 4540
gcl,,Lisp/Scheme program - ASCII text, 335
autopoint,,M4 macro processor script - ASCII text, 26997
gettextize,,M4 macro processor script - ASCII text, 42236
rakudo-gdb-m,,OS/2 REXX batch file - ASCII text, 1723
rakudo-lldb-m,,OS/2 REXX batch file - ASCII text, 1710
rakudo-valgrind-m,,OS/2 REXX batch file - ASCII text, 1516
aclocal,,Perl script text executable, 36478
aclocal-1.16,,Perl script text executable, 36478
afmtodit,,Perl script text executable, 165795
autoheader,,Perl script text executable, 8534
autom4te,,Perl script text executable, 32181
automake,,Perl script text executable, 257949
automake-1.16,,Perl script text executable, 257949
autoreconf,,Perl script text executable, 21066
autoscan,,Perl script text executable, 17124
autoupdate,,Perl script text executable, 33872
callgrind_annotate,,Perl script text executable, 44658
callgrind_control,,Perl script text executable, 12602
cg_annotate,,Perl script text executable, 33438
cg_diff,,Perl script text executable, 10347
chem,,Perl script text executable, 29170
collateindex.pl,,Perl script text executable, 17503
composeglyphs,,Perl script text executable, 14011
coqtags,,Perl script text executable, 1837
cpanel_json_xs,,Perl script text executable, 9993
crc32,,Perl script text executable, 1043
dbilogstrip,,Perl script text executable, 1380
dbiprof,,Perl script text executable, 6206
diffpp,,Perl script text executable, 4548
dillo-install-hyphenation,,Perl script text executable, 5728
dm_date,,Perl script text executable, 5513
dm_zdump,,Perl script text executable, 5109
ebappendix,,Perl script text executable, 30178
encguess,,Perl script text executable, 2980
extractres,,Perl script text executable, 3411
findrule,,Perl script text executable, 3327
findsmb,,Perl script text executable, 4604
foomatic-configure,,Perl script text executable, 136767
foomatic-ppd-options,,Perl script text executable, 4000
foomatic-ppd-to-xml,,Perl script text executable, 11907
foomatic-ppdfile,,Perl script text executable, 9788
foomatic-printjob,,Perl script text executable, 35032
foomatic-searchprinter,,Perl script text executable, 2489
fprofpp,,Perl script text executable, 6452
GET,,Perl script text executable, 16200
git-cvsserver,,Perl script text executable, 162743
glilypond,,Perl script text executable, 18406
gperl,,Perl script text executable, 6639
gpinyin,,Perl script text executable, 5129
groffer,,Perl script text executable, 8050
grog,,Perl script text executable, 2782
gropdf,,Perl script text executable, 64417
